Tokenizer,Language,Metric,mean_of_ratios,ratio_of_totals,ci_low,ci_high
gpt2,eng,tok_per_word,1.2444278318059756,1.2348294598420164,1.225932292368591,1.2451289513280694
gpt2,eng,tok_per_graph,0.20700197182994035,0.2049315732840277,0.20318847575704113,0.20666836715702966
gpt2,eng,tok_per_byte,0.20680162204514005,0.2047298934108527,0.20300517627607634,0.20648241526914712
gpt2,eng,tok_per_sent,26.723320158102766,26.723320158102766,26.09483695652174,27.31138833992095
gpt2,hin,tok_per_word,7.8665256879327,7.826229380337714,7.770684615978006,7.883871066287645
gpt2,hin,tok_per_graph,2.3405042040658173,2.334748769733704,2.321695928794825,2.3473905634070436
gpt2,hin,tok_per_byte,0.5947444385394686,0.5947386046070549,0.5940848991574142,0.595343274113066
gpt2,hin,tok_per_sent,198.3083003952569,198.3083003952569,193.50049407114625,202.50802865612647
gpt2,tam,tok_per_word,25.25081365125878,25.047451564828613,24.854474597841666,25.25837357800659
gpt2,tam,tok_per_graph,4.214527612426119,4.213338815129758,4.198762309259787,4.228302204023337
gpt2,tam,tok_per_byte,0.9961231642984066,0.9965278024831904,0.9960881039309832,0.9969651681076493
gpt2,tam,tok_per_sent,415.1887351778656,415.1887351778656,405.1194911067194,423.9108695652174
gpt2,tel,tok_per_word,20.823996930978748,20.707757704569605,20.52323272913817,20.886524718479286
gpt2,tel,tok_per_graph,4.604078564204558,4.580929120900649,4.547319787334725,4.613807682409997
gpt2,tel,tok_per_byte,0.9906947372433232,0.9917632987521949,0.9907254142182337,0.9927805353087598
gpt2,tel,tok_per_sent,346.5889328063241,346.5889328063241,338.23194169960476,354.1209239130435
muril,eng,tok_per_word,1.2689251399925585,1.259348888178622,1.2499532940196265,1.2701639966093097
muril,eng,tok_per_graph,0.21096959428415524,0.20900080323719747,0.20724836436215363,0.21076720634404347
muril,eng,tok_per_byte,0.2107744538028485,0.20879511870155038,0.20701199234932788,0.21058365114806843
muril,eng,tok_per_sent,27.25395256916996,27.25395256916996,26.635350790513833,27.857756916996046
muril,hin,tok_per_word,1.2543269412549622,1.24494013960925,1.2359847707932134,1.254028580860925
muril,hin,tok_per_graph,0.3736520461355563,0.3713949998254941,0.36916404010078446,0.37378052291179015
muril,hin,tok_per_byte,0.0956326586350055,0.09460672891989368,0.09384198502081031,0.0954121824752664
muril,hin,tok_per_sent,31.545454545454547,31.545454545454547,30.82895256916996,32.238216403162056
muril,tam,tok_per_word,1.7509430726763928,1.7409239940387482,1.722800572659696,1.7585336125834896
muril,tam,tok_per_graph,0.2934436607340932,0.2928482612009145,0.2901174961418862,0.29548560447638106
muril,tam,tok_per_byte,0.06972782715465349,0.06926369964542792,0.06850785192052618,0.07000658085538518
muril,tam,tok_per_sent,28.857707509881422,28.857707509881422,28.136017786561265,29.510029644268776
muril,tel,tok_per_word,1.978375815823848,1.9594993505726768,1.9378497885814492,1.9834067302867266
muril,tel,tok_per_graph,0.4366020902933033,0.4334765630101741,0.42951820573266575,0.4377760140706724
muril,tel,tok_per_byte,0.0948682452500773,0.09384693251447007,0.09285060521301877,0.09486586189744543
muril,tel,tok_per_sent,32.79644268774704,32.79644268774704,31.97687747035573,33.536833003952566
ai4bharat,eng,tok_per_word,1.2447828544859934,1.2363819003698462,1.2276529709701145,1.2462454060502663
ai4bharat,eng,tok_per_graph,0.20713456945005843,0.2051892154039677,0.20357090015745635,0.20682733474312956
ai4bharat,eng,tok_per_byte,0.20694188268415964,0.20498728197674418,0.20339842613367615,0.2066311146266072
ai4bharat,eng,tok_per_sent,26.75691699604743,26.75691699604743,26.15681818181818,27.354792490118577
ai4bharat,hin,tok_per_word,1.24475531792521,1.234683929337441,1.2264860424695019,1.2433768423953753
ai4bharat,hin,tok_per_graph,0.3708290461952464,0.36833533045592565,0.3663169867749109,0.37057062159208654
ai4bharat,hin,tok_per_byte,0.09488838425970943,0.09382732879127784,0.09312169549704097,0.09462680680668743
ai4bharat,hin,tok_per_sent,31.285573122529645,31.285573122529645,30.578903162055337,31.977667984189722
ai4bharat,tam,tok_per_word,1.7079474506197165,1.6953204172876304,1.680327654543621,1.7112304851441476
ai4bharat,tam,tok_per_graph,0.28662575952201497,0.28517708876499137,0.28287790154643094,0.2876078737856407
ai4bharat,tam,tok_per_byte,0.06810042203800674,0.067449334139718,0.06679206084088185,0.06808381746736884
ai4bharat,tam,tok_per_sent,28.10177865612648,28.10177865612648,27.42551877470356,28.73530138339921
ai4bharat,tel,tok_per_word,1.719471826141319,1.6991380328255992,1.6825898355802449,1.7177158659706442
ai4bharat,tel,tok_per_graph,0.3797555285428548,0.37587994828059085,0.37249782403712667,0.3793988896931553
ai4bharat,tel,tok_per_byte,0.08268130721565685,0.08137736419904937,0.08052619388338345,0.08227889705798497
ai4bharat,tel,tok_per_sent,28.438735177865613,28.438735177865613,27.714377470355732,29.03804347826087
